State,TRI,CancerDeath,Party
AL,82159919.13,170.4,Republican
AR,35547395.91,168.8,Republican
AZ,87318030.2,131.9,Republican
CA,37763922.04,135,Democrat
CO,24561972.05,127.6,Split
CT,2207492.423,134.1,Split
DC,32507.12495,155.6,Democrat
DE,6525819.277,159.4,Democrat
FL,61769320.34,141.7,Republican
GA,50972011.27,152.4,Republican
GU,448677.3556,152,Nonpartisan
HI,2962277.595,123.5,Democrat
IA,40474058.94,155.3,Republican
ID,33731374.14,149.5,Republican
IL,124623408.4,153.5,Split
IN,130826336.5,165.7,Republican
KS,24751446.68,156.4,Republican
KY,47854951.51,181.6,Republican
LA,150978701.4,169,Split
MA,3555485.752,142.8,Split
MD,6109980.547,149.9,Split
ME,11543062.94,162.1,Split
MI,79476583.31,161.1,Republican
MN,27337755.24,143.1,Split
MO,61101094.46,165.3,Republican
MS,62088932.83,179.7,Republican
MT,51455412.65,140.7,Split
NC,55533539.71,154.2,Split
ND,52979900.69,145.2,Republican
NE,18820811.11,150.5,Nonpartisan
NH,434060.013,143.7,Republican
NJ,12829870.77,141.3,Democrat
NM,16886572.56,136.4,Split
NV,339298863.4,146.5,Split
NY,19755560.91,138.2,Split
OH,117409560.2,165.2,Republican
OK,31677167.97,178.1,Republican
OR,21532751.65,150.6,Democrat
PA,58080867.27,156.6,Split
PR,6676703.346,156,Nonpartisan
RI,428009.1156,151.6,Democrat
SC,38200632.11,157.3,Republican
SD,7527103.88,145.2,Republican
TN,90534372.88,168,Republican
TX,218218669.4,142.9,Republican
UT,292071874.5,120,Republican
VA,34814807.85,149.3,Split
VT,369798.4274,156,Split
WA,32125261.35,145.3,Democrat
WI,33319847.43,151.5,Republican
WV,29967190.39,179.5,Republican
WY,21423496.84,140.6,Republican
